Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS03 Reject Reactivation XLC Online,Chrome 136.0.0.0,,,2025-05-19 10:55:15,2025-05-19 10:57:24,2m - 8.654s,PASSED
,,,,,,,
Test Cases/Reused TC/2. Credential/Login,Chrome 136.0.0.0,,,2025-05-19 10:55:16,2025-05-19 10:55:47,31.723s,PASSED
openBrowser(URL),Chrome 136.0.0.0,,,2025-05-19 10:55:16,2025-05-19 10:55:23,7.345s,PASSED
maximizeWindow(),Chrome 136.0.0.0,,,2025-05-19 10:55:23,2025-05-19 10:55:24,0.152s,PASSED
enableSmartWait(),Chrome 136.0.0.0,,,2025-05-19 10:55:24,2025-05-19 10:55:24,0.026s,PASSED
"click(findTestObject(""Spesific/btn Login""))",Chrome 136.0.0.0,,,2025-05-19 10:55:24,2025-05-19 10:55:25,1.821s,PASSED
"setText(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@name"", ""val"":""loginfmt""]), username)",Chrome 136.0.0.0,,,2025-05-19 10:55:25,2025-05-19 10:55:26,0.655s,PASSED
delay(2),Chrome 136.0.0.0,,,2025-05-19 10:55:26,2025-05-19 10:55:28,2.046s,PASSED
"click(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@id"", ""val"":""idSIButton9""]))",Chrome 136.0.0.0,,,2025-05-19 10:55:28,2025-05-19 10:55:29,0.455s,PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 136.0.0.0,,,2025-05-19 10:55:29,2025-05-19 10:55:31,2.032s,PASSED
"setEncryptedText(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@name"", ""val"":""passwd""]), encriptPassword)",Chrome 136.0.0.0,,,2025-05-19 10:55:31,2025-05-19 10:55:31,0.447s,PASSED
"delay(1, STOP_ON_FAILURE)",Chrome 136.0.0.0,,,2025-05-19 10:55:31,2025-05-19 10:55:32,1.009s,PASSED
"click(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@id"", ""val"":""idSIButton9""]))",Chrome 136.0.0.0,,,2025-05-19 10:55:32,2025-05-19 10:55:33,0.583s,PASSED
"if (verifyElementPresent(findTestObject(""General/obj"", [""obj"":""div"", ""attr"":""@id"", ""val"":""idDiv_SAOTCAS_Description""]), 5, OPTIONAL))",Chrome 136.0.0.0,,,2025-05-19 10:55:33,2025-05-19 10:55:40,6.818s,PASSED
"if (verifyElementPresent(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@name"", ""val"":""otc""]), 5, OPTIONAL))",Chrome 136.0.0.0,,,2025-05-19 10:55:40,2025-05-19 10:55:46,6.781s,PASSED
"waitForElementClickable(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@id"", ""val"":""idSIButton9""]), 5)",Chrome 136.0.0.0,,,2025-05-19 10:55:46,2025-05-19 10:55:47,0.411s,PASSED
"click(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@id"", ""val"":""idSIButton9""]))",Chrome 136.0.0.0,,,2025-05-19 10:55:47,2025-05-19 10:55:47,0.581s,PASSED
,,,,,,,
Test Cases/Main TC/XLC Approval/XLCO001 Filter based on TicketID,Chrome 136.0.0.0,,,2025-05-19 10:55:47,2025-05-19 10:55:53,5.796s,PASSED
"click(findTestObject(""Spesific/MenuMain"", [""mainMenu"":""Customer Support""]))",Chrome 136.0.0.0,,,2025-05-19 10:55:48,2025-05-19 10:55:49,1.539s,PASSED
"click(findTestObject(""Spesific/MenuSub"", [""subMenu"":""XL Center Approval""]))",Chrome 136.0.0.0,,,2025-05-19 10:55:49,2025-05-19 10:55:50,0.301s,PASSED
"setText(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@formcontrolname"", ""val"":""ticketId""]), ApplicationID)",Chrome 136.0.0.0,,,2025-05-19 10:55:50,2025-05-19 10:55:50,0.500s,PASSED
"callTestCase(findTestCase(""Library/LIB003 Select from Dropdown""), [""selectionName"":""serviceType"", ""selectedOption"":serviceType], STOP_ON_FAILURE)",Chrome 136.0.0.0,,,2025-05-19 10:55:50,2025-05-19 10:55:52,1.404s,PASSED
"callTestCase(findTestCase(""Library/LIB003 Select from Dropdown""), [""selectionName"":""channel"", ""selectedOption"":channel], STOP_ON_FAILURE)",Chrome 136.0.0.0,,,2025-05-19 10:55:52,2025-05-19 10:55:52,0.792s,PASSED
"click(findTestObject(""General/obj contains"", [""obj"":""button"", ""attr"":""text()"", ""val"":""Search""]))",Chrome 136.0.0.0,,,2025-05-19 10:55:52,2025-05-19 10:55:53,0.336s,PASSED
