Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS05 Reject Replacement XLC Online,Chrome 136.0.0.0,,,2025-05-20 11:00:49,2025-05-20 11:02:09,1m - 20.678s,PASSED
,,,,,,,
Test Cases/Reused TC/2. Credential/Login,Chrome 136.0.0.0,,,2025-05-20 11:00:49,2025-05-20 11:01:25,35.376s,PASSED
openBrowser(URL),Chrome 136.0.0.0,,,2025-05-20 11:00:50,2025-05-20 11:00:59,9.433s,PASSED
maximizeWindow(),Chrome 136.0.0.0,,,2025-05-20 11:00:59,2025-05-20 11:00:59,0.152s,PASSED
enableSmartWait(),Chrome 136.0.0.0,,,2025-05-20 11:00:59,2025-05-20 11:01:00,0.023s,PASSED
"click(findTestObject(""Spesific/btn Login""))",Chrome 136.0.0.0,,,2025-05-20 11:01:00,2025-05-20 11:01:03,3.543s,PASSED
"setText(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@name"", ""val"":""loginfmt""]), username)",Chrome 136.0.0.0,,,2025-05-20 11:01:03,2025-05-20 11:01:04,0.876s,PASSED
delay(2),Chrome 136.0.0.0,,,2025-05-20 11:01:04,2025-05-20 11:01:06,2.055s,PASSED
"click(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@id"", ""val"":""idSIButton9""]))",Chrome 136.0.0.0,,,2025-05-20 11:01:06,2025-05-20 11:01:06,0.313s,PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 136.0.0.0,,,2025-05-20 11:01:06,2025-05-20 11:01:08,2.024s,PASSED
"setEncryptedText(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@name"", ""val"":""passwd""]), encriptPassword)",Chrome 136.0.0.0,,,2025-05-20 11:01:08,2025-05-20 11:01:09,0.455s,PASSED
"delay(1, STOP_ON_FAILURE)",Chrome 136.0.0.0,,,2025-05-20 11:01:09,2025-05-20 11:01:10,1.021s,PASSED
"click(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@id"", ""val"":""idSIButton9""]))",Chrome 136.0.0.0,,,2025-05-20 11:01:10,2025-05-20 11:01:11,0.726s,PASSED
"if (verifyElementPresent(findTestObject(""General/obj"", [""obj"":""div"", ""attr"":""@id"", ""val"":""idDiv_SAOTCAS_Description""]), 5, OPTIONAL))",Chrome 136.0.0.0,,,2025-05-20 11:01:11,2025-05-20 11:01:17,6.787s,PASSED
"if (verifyElementPresent(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@name"", ""val"":""otc""]), 5, OPTIONAL))",Chrome 136.0.0.0,,,2025-05-20 11:01:17,2025-05-20 11:01:24,6.710s,PASSED
