Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS02 Approve Reactivation XLC Online,Chrome 136.0.0.0,,,2025-05-20 11:25:48,2025-05-20 11:27:14,1m - 26.885s,PASSED
,,,,,,,
Test Cases/Reused TC/2. Credential/Login,Chrome 136.0.0.0,,,2025-05-20 11:25:48,2025-05-20 11:26:20,32.184s,PASSED
openBrowser(URL),Chrome 136.0.0.0,,,2025-05-20 11:25:49,2025-05-20 11:25:57,8.299s,PASSED
maximizeWindow(),Chrome 136.0.0.0,,,2025-05-20 11:25:57,2025-05-20 11:25:57,0.140s,PASSED
enableSmartWait(),Chrome 136.0.0.0,,,2025-05-20 11:25:57,2025-05-20 11:25:57,0.023s,PASSED
"click(findTestObject(""Spesific/btn Login""))",Chrome 136.0.0.0,,,2025-05-20 11:25:57,2025-05-20 11:25:58,0.927s,PASSED
"setText(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@name"", ""val"":""loginfmt""]), username)",Chrome 136.0.0.0,,,2025-05-20 11:25:58,2025-05-20 11:25:59,0.955s,PASSED
delay(2),Chrome 136.0.0.0,,,2025-05-20 11:25:59,2025-05-20 11:26:01,2.043s,PASSED
"click(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@id"", ""val"":""idSIButton9""]))",Chrome 136.0.0.0,,,2025-05-20 11:26:01,2025-05-20 11:26:02,0.454s,PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 136.0.0.0,,,2025-05-20 11:26:02,2025-05-20 11:26:04,2.034s,PASSED
"setEncryptedText(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@name"", ""val"":""passwd""]), encriptPassword)",Chrome 136.0.0.0,,,2025-05-20 11:26:04,2025-05-20 11:26:04,0.386s,PASSED
"delay(1, STOP_ON_FAILURE)",Chrome 136.0.0.0,,,2025-05-20 11:26:04,2025-05-20 11:26:05,1.009s,PASSED
"click(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@id"", ""val"":""idSIButton9""]))",Chrome 136.0.0.0,,,2025-05-20 11:26:05,2025-05-20 11:26:06,0.585s,PASSED
"if (verifyElementPresent(findTestObject(""General/obj"", [""obj"":""div"", ""attr"":""@id"", ""val"":""idDiv_SAOTCAS_Description""]), 5, OPTIONAL))",Chrome 136.0.0.0,,,2025-05-20 11:26:06,2025-05-20 11:26:13,6.815s,PASSED
"if (verifyElementPresent(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@name"", ""val"":""otc""]), 5, OPTIONAL))",Chrome 136.0.0.0,,,2025-05-20 11:26:13,2025-05-20 11:26:19,6.785s,PASSED
"waitForElementClickable(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@id"", ""val"":""idSIButton9""]), 5)",Chrome 136.0.0.0,,,2025-05-20 11:26:19,2025-05-20 11:26:20,0.361s,PASSED
"click(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@id"", ""val"":""idSIButton9""]))",Chrome 136.0.0.0,,,2025-05-20 11:26:20,2025-05-20 11:26:20,0.672s,PASSED
,,,,,,,
Test Cases/Main TC/XLC Approval/XLCO001 Filter based on TicketID,Chrome 136.0.0.0,,,2025-05-20 11:26:21,2025-05-20 11:26:27,6.879s,PASSED
"click(findTestObject(""Spesific/MenuMain"", [""mainMenu"":""Customer Support""]))",Chrome 136.0.0.0,,,2025-05-20 11:26:21,2025-05-20 11:26:23,2.265s,PASSED
